Method,Selected_Regions,Original_Probability,Masked_Probability,Prediction_Preservation,SHAP_Importance,Sparsity,Fitness_Score,Sample_ID
SHAP Top-K Baseline,29,0.502587616443634,0.06500472128391266,0.5624171048402786,0.8337126751159325,0.453125,0.3143349266520704,1
GA-Optimized Mask,29,0.502587616443634,0.1681295931339264,0.6655419766902924,0.7185053441113926,0.453125,0.31030744026722834,1
SHAP Top-K Baseline,32,0.824950098991394,0.5552462339401245,0.7302961349487305,0.9062769308724172,0.5,0.37885768860704927,2
GA-Optimized Mask,32,0.824950098991394,0.6662547588348389,0.8413046598434448,0.7595926794968166,0.5,0.36696577978008715,2
SHAP Top-K Baseline,30,0.762644350528717,0.3240779936313629,0.5614336431026459,0.8811593725604083,0.46875,0.3246143385543514,3
GA-Optimized Mask,30,0.762644350528717,0.45851588249206543,0.6958715319633484,0.8055736023486446,0.46875,0.344231711437331,3
