Method,Selected_Regions,Original_Probability,Masked_Probability,Prediction_Preservation,SHAP_Importance,Sparsity,Fitness_Score
SHAP Top-K Baseline,29,0.502587616443634,0.06500472128391266,0.5624171048402786,0.8337126751159325,0.453125,0.3143349266520704
GA-Optimized Mask,29,0.502587616443634,0.1681295931339264,0.6655419766902924,0.7185053441113926,0.453125,0.31030744026722834
