Method,Selected_Regions,Original_Probability,Masked_Probability,Prediction_Preservation,SHAP_Importance,Sparsity,Fitness_Score
SHAP Top-K Baseline,32,0.824950098991394,0.5552462339401245,0.7302961349487305,0.9062769308724172,0.5,0.37885768860704927
GA-Optimized Mask,32,0.824950098991394,0.6662547588348389,0.8413046598434448,0.7595926794968166,0.5,0.36696577978008715
