Solution_ID,K_Selected_ROIs,F1_Preservation,F2_Attribution_Retained,F3_Compactness,F4_Anatomical_Coherence,Distance_To_Utopia,Is_Knee_Point
3,1,0.99822,0.005242,0.952381,0.933333,0.998128,False
5,2,0.998933,0.361311,0.904762,0.5896,0.765129,False
7,2,0.999106,0.221699,0.904762,0.724742,0.831018,False
34,2,0.999264,0.225116,0.904762,0.719434,0.829599,False
20,3,0.999073,0.238874,0.857143,0.762858,0.809912,False
16,3,0.999745,0.59986,0.857143,0.568421,0.605624,False
15,4,0.999033,0.3785,0.809524,0.713749,0.710271,False
22,4,0.999116,0.223018,0.809524,0.777708,0.8303,False
4,4,0.99972,0.738435,0.809524,0.561894,0.544642,False
9,5,0.999259,0.2395,0.761905,0.775555,0.827904,False
8,6,0.999729,0.745403,0.714286,0.643539,0.522988,True
6,6,0.99918,0.244413,0.714286,0.787698,0.835235,False
18,7,0.999176,0.249261,0.666667,0.787437,0.848472,False
13,7,0.999749,0.756236,0.666667,0.663607,0.532628,False
24,8,0.99975,0.766757,0.619048,0.676589,0.551472,False
27,8,0.999358,0.262493,0.619048,0.783802,0.857778,False
19,8,0.999855,0.482491,0.619048,0.746407,0.690833,False
11,9,0.999617,0.521351,0.571429,0.732519,0.695934,False
32,9,0.999337,0.263893,0.571429,0.784445,0.878631,False
2,9,0.99986,0.487338,0.571429,0.750593,0.713232,False
10,10,0.999421,0.272896,0.52381,0.776851,0.897348,False
21,10,0.999753,0.768817,0.52381,0.701423,0.607743,False
25,11,0.999762,0.774766,0.47619,0.707859,0.640666,False
33,11,0.999385,0.272176,0.47619,0.780857,0.923108,False
29,12,0.999759,0.776343,0.428571,0.715133,0.676537,False
26,12,0.999368,0.267856,0.428571,0.784779,0.953355,False
12,12,0.999697,0.551089,0.428571,0.739989,0.771789,False
28,13,0.999801,0.786995,0.380952,0.716178,0.713545,False
14,13,0.999327,0.420324,0.380952,0.759516,0.88152,False
23,13,0.999364,0.284661,0.380952,0.770861,0.973363,False
17,14,0.999686,0.409358,0.333333,0.769365,0.920051,False
30,15,0.999385,0.281342,0.285714,0.777328,1.037428,False
31,15,0.999766,0.788202,0.285714,0.726807,0.793535,False
0,16,0.999793,0.789006,0.238095,0.73117,0.835037,False
1,16,0.999781,0.646725,0.238095,0.749886,0.876276,False
