Generation,Best_F1_Preservation,Best_F2_SHAP,Best_F3_Compactness,Avg_F1,Avg_F2,Avg_F3,Pareto_Front_Size
1,0.563380666077137,0.7833469247234051,0.625,0.5226659673576554,0.5542065345027145,0.4890625,27
2,0.5969797447323799,0.7891783265724137,0.671875,0.5269152477538834,0.5747386899493844,0.48723958333333334,29
3,0.6098929643630981,0.7891783265724137,0.671875,0.5334042809903622,0.5860669197737048,0.490625,47
4,0.6156306192278862,0.7891783265724137,0.6875,0.536312741615499,0.5932400102558485,0.5005208333333333,60
5,0.6297352015972137,0.7891783265724137,0.71875,0.5517029677517712,0.5619949164868489,0.52734375,60
6,0.6491980105638504,0.7891783265724137,0.734375,0.560468336675937,0.570020270080337,0.5247395833333334,60
7,0.6491980105638504,0.7891783265724137,0.734375,0.5670473732985556,0.5725933614753352,0.53046875,60
8,0.7831479609012604,0.806409890822595,0.8125,0.5696706202657272,0.5952702389998128,0.5208333333333334,60
9,0.7831479609012604,0.806409890822595,0.8125,0.5818191269257417,0.5681867694627837,0.5434895833333333,60
10,0.7831479609012604,0.806409890822595,0.8125,0.5884711049652348,0.6021830123417936,0.52578125,60
11,0.7831479609012604,0.8424178300490855,0.8125,0.6077435881985972,0.5666325610438884,0.5609375,56
12,0.7831479609012604,0.860842277859017,0.8125,0.6196498430178811,0.5452272076880321,0.5869791666666667,60
13,0.8147948086261749,0.8984104159313117,0.8125,0.6375510102137923,0.5168579006402733,0.6182291666666667,60
14,0.8147948086261749,0.8984104159313117,0.8125,0.6385490777902305,0.5415526681579522,0.6033854166666667,60
15,0.8147948086261749,0.8984104159313117,0.8125,0.6389507894714673,0.5590996486524238,0.5953125,60
16,0.8147948086261749,0.8984104159313117,0.8125,0.6440692436260481,0.5557693538206876,0.5927083333333333,60
17,0.8147948086261749,0.9005415400986578,0.8125,0.6503465075666706,0.5648489490146098,0.58359375,60
18,0.8147948086261749,0.9005415400986578,0.8125,0.6506842955946922,0.5687725192525372,0.5809895833333333,60
19,0.8147948086261749,0.9005415400986578,0.828125,0.6592944314858565,0.5675776755911965,0.5822916666666667,60
20,0.8147948086261749,0.9005415400986578,0.828125,0.6587730948037157,0.5761295010250052,0.5747395833333333,60
