Method,Selected_Regions,Original_Probability,Masked_Probability,Prediction_Preservation,SHAP_Importance,Sparsity,Fitness_Score
SHAP Top-K Baseline,30,0.762644350528717,0.3240779936313629,0.5614336431026459,0.8811593725604083,0.46875,0.3246143385543514
GA-Optimized Mask,30,0.762644350528717,0.45851588249206543,0.6958715319633484,0.8055736023486446,0.46875,0.344231711437331
