Generation,Best_F1_Preservation,Best_F2_SHAP,Best_F3_Compactness,Avg_F1,Avg_F2,Avg_F3,Pareto_Front_Size
1,0.5767212212085724,0.7508386710126876,0.640625,0.2903977433840434,0.5159575885713967,0.5161458333333333,19
2,0.6159790754318237,0.790238300241972,0.671875,0.31869625809291996,0.5043017585566306,0.5333333333333333,28
3,0.6159790754318237,0.790238300241972,0.671875,0.35580748356878755,0.5273176218760295,0.53828125,45
4,0.6785974502563477,0.8002044190262092,0.71875,0.37025077156722547,0.5190913143455343,0.5486979166666667,60
5,0.6785974502563477,0.8002044190262092,0.71875,0.399240500976642,0.5512905660415779,0.534375,60
6,0.6830741763114929,0.8002044190262092,0.71875,0.41726201102137567,0.5152132898838411,0.5567708333333333,46
7,0.7252566814422607,0.8181383143243144,0.734375,0.4331239376217127,0.5231148386628676,0.5627604166666667,60
8,0.7252566814422607,0.8207021365935778,0.75,0.46765583095451196,0.5648586715292545,0.5528645833333333,34
9,0.7602261900901794,0.8348102645486996,0.75,0.49591441787779333,0.5670432873417318,0.5606770833333333,37
10,0.7602261900901794,0.8348102645486996,0.75,0.5048604377855858,0.5621934078990152,0.5778645833333333,49
11,0.7687969207763672,0.8348102645486996,0.765625,0.5195887140929699,0.5807478222203932,0.5763020833333333,60
12,0.7687969207763672,0.8348102645486996,0.78125,0.5331694832692544,0.5831215663573052,0.5744791666666667,60
13,0.7880657911300659,0.8348102645486996,0.796875,0.5340188480913639,0.5813216364153515,0.5783854166666667,60
14,0.7880657911300659,0.8348102645486996,0.796875,0.5300678969671329,0.5652431746722748,0.5921875,60
15,0.7880657911300659,0.8348102645486996,0.828125,0.5747442064185937,0.5931009953129591,0.5765625,60
16,0.8044981956481934,0.8348102645486996,0.828125,0.5511910899231831,0.5337682111266795,0.6174479166666667,60
17,0.8115035891532898,0.876075193278543,0.828125,0.5648171983659267,0.5598286983242869,0.6125,60
18,0.8115035891532898,0.8809941747972367,0.828125,0.5939136855304241,0.5697524103954695,0.6072916666666667,60
19,0.8115035891532898,0.8963176281991513,0.828125,0.6036878804365794,0.5623507298490146,0.6151041666666667,60
20,0.8413046598434448,0.8963176281991513,0.828125,0.6075148264567057,0.5642054708078613,0.6182291666666667,60
