Region_ID,Row,Column,SHAP_Score,Normalized_SHAP_Score
0,0,0,0.0,0.0
1,0,1,1.9654848415484594e-08,3.6695419112220407e-06
2,0,2,2.6934796551358886e-05,0.005028701387345791
3,0,3,9.138532914221287e-05,0.01706155575811863
4,0,4,7.997051579877734e-05,0.01493042055517435
5,0,5,1.9477542082313448e-05,0.00363643909804523
6,0,6,0.0,0.0
7,0,7,0.0,0.0
8,1,0,0.0,0.0
9,1,1,5.542454164242372e-05,0.010347709991037846
10,1,2,0.00014128864859230816,0.026378458365797997
11,1,3,0.00011655488924589008,0.021760689094662666
12,1,4,0.00013405074423644692,0.02502714842557907
13,1,5,0.00011625605839071795,0.02170489728450775
14,1,6,3.0129765946185216e-05,0.005625199060887098
15,1,7,0.0,0.0
16,2,0,1.3438954738376196e-05,0.002509040292352438
17,2,1,0.0001642246061237529,0.030660580843687057
18,2,2,9.950533421942964e-05,0.01857755333185196
19,2,3,0.00011460331734269857,0.0213963333517313
20,2,4,0.00013439609028864652,0.02509162575006485
21,2,5,0.00010563175601419061,0.019721349701285362
22,2,6,0.00014243625628296286,0.026592716574668884
23,2,7,5.019626769353636e-06,0.000937159638851881
24,3,0,4.638550308300182e-05,0.008660130202770233
25,3,1,0.00017280274187214673,0.03226211294531822
26,3,2,0.0001647626922931522,0.03076104074716568
27,3,3,0.00019286699534859508,0.036008089780807495
28,3,4,0.00015187333337962627,0.02835460938513279
29,3,5,0.0001039508351823315,0.019407523795962334
30,3,6,0.00018821482080966234,0.0351395308971405
31,3,7,1.6186451830435544e-05,0.003021995536983013
32,4,0,1.5809513570275158e-05,0.0029516215436160564
33,4,1,0.00023460001102648675,0.04379960522055626
34,4,2,0.00010948823910439387,0.02044135332107544
35,4,3,0.00017097423551604152,0.03192073106765747
36,4,4,0.00015058390272315592,0.028113873675465584
37,4,5,8.924235589802265e-05,0.016661465167999268
38,4,6,0.00018368169548921287,0.03429320082068443
39,4,7,2.3216582576424116e-06,0.000433451437857002
40,5,0,0.0,0.0
41,5,1,0.00013641806435771286,0.02546912617981434
42,5,2,8.065035217441618e-05,0.015057345852255821
43,5,3,0.0002503305149730295,0.046736475080251694
44,5,4,0.00020100978144910187,0.03752833977341652
45,5,5,8.321364293806255e-05,0.015535909682512283
46,5,6,0.00012453578528948128,0.02325071580708027
47,5,7,0.0,0.0
48,6,0,0.0,0.0
49,6,1,6.160538760013878e-05,0.011501668952405453
50,6,2,0.00015480705769732594,0.028902333229780197
51,6,3,0.00019522217917256057,0.03644780069589615
52,6,4,0.0001468982081860304,0.02742575854063034
53,6,5,0.00016357365529984236,0.030539048835635185
54,6,6,4.119593359064311e-05,0.007691242266446352
55,6,7,0.0,0.0
56,7,0,0.0,0.0
57,7,1,3.1548580636808765e-08,5.890090505999979e-06
58,7,2,1.2559143215185031e-05,0.002344780368730426
59,7,3,5.344026067177765e-05,0.009977246634662151
60,7,4,5.686366421286948e-05,0.010616392828524113
61,7,5,9.324920029030181e-06,0.0017409538850188255
62,7,6,3.953040561555099e-08,7.3802898441499565e-06
63,7,7,0.0,0.0
